SERIES;INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC
201211;1.005.000.000.000.000.000;990.000.000.000.000.000;943.000.000.000.000.000
201212;1.017.000.000.000.000.000;995.000.000.000.000.000;952.000.000.000.000.000
201301;1.011.000.000.000.000.000;986.000.000.000.000.000;951.000.000.000.000.000
201302;1.026.000.000.000.000.000;993.000.000.000.000.000;946.000.000.000.000.000
201303;1.028.000.000.000.000.000;1.011.000.000.000.000.000;940.000.000.000.000.000
201304;1.041.000.000.000.000.000;1.010.000.000.000.000.000;933.000.000.000.000.000
201305;1.038.000.000.000.000.000;1.002.000.000.000.000.000;951.000.000.000.000.000
201306;1.022.000.000.000.000.000;1.020.000.000.000.000.000;950.000.000.000.000.000
201307;1.015.000.000.000.000.000;1.004.000.000.000.000.000;949.000.000.000.000.000
201308;1.005.000.000.000.000.000;1.024.000.000.000.000.000;932.000.000.000.000.000
201309;1.016.000.000.000.000.000;1.021.000.000.000.000.000;949.000.000.000.000.000
201310;1.014.000.000.000.000.000;1.014.000.000.000.000.000;953.000.000.000.000.000
201311;1.028.000.000.000.000.000;1.031.000.000.000.000.000;950.000.000.000.000.000
201312;1.019.000.000.000.000.000;1.033.000.000.000.000.000;939.000.000.000.000.000
201401;1.004.000.000.000.000.000;1.026.000.000.000.000.000;956.000.000.000.000.000
201402;1.023.000.000.000.000.000;1.026.000.000.000.000.000;948.000.000.000.000.000
201403;1.016.000.000.000.000.000;1.029.000.000.000.000.000;937.000.000.000.000.000
201404;1.016.000.000.000.000.000;1.025.000.000.000.000.000;947.000.000.000.000.000
201405;1.000.000.000.000.000.000;1.020.000.000.000.000.000;934.000.000.000.000.000
201406;1.015.000.000.000.000.000;1.021.000.000.000.000.000;952.000.000.000.000.000
201407;1.025.000.000.000.000.000;1.038.000.000.000.000.000;939.000.000.000.000.000
201408;1.007.000.000.000.000.000;1.001.000.000.000.000.000;925.000.000.000.000.000
201409;1.019.000.000.000.000.000;1.026.000.000.000.000.000;932.000.000.000.000.000
201410;1.003.000.000.000.000.000;1.029.000.000.000.000.000;931.000.000.000.000.000
201411;988.000.000.000.000.000;1.028.000.000.000.000.000;930.000.000.000.000.000
